timestamp,heart_rate,blood_oxygen,activity_level,sleep_hours
2025-11-17 00:00:00,73,97,low,6.809179583301288
2025-11-17 01:00:00,70,98,low,6.741193844260158
2025-11-17 02:00:00,84,94,low,7.718874059555823
2025-11-17 03:00:00,92,97,low,7.260267808947924
2025-11-17 04:00:00,74,93,low,7.3703746808771164
2025-11-17 05:00:00,69,94,low,6.226032342836664
2025-11-17 06:00:00,78,90,high,6.788005550909654
2025-11-17 07:00:00,96,91,high,7.348815635959811
2025-11-17 08:00:00,93,92,moderate,6.258918306396593
2025-11-17 09:00:00,86,97,high,5.769406819303048
2025-11-17 10:00:00,65,99,low,7.198500077158175
2025-11-17 11:00:00,61,96,moderate,6.3771285197852645
2025-11-17 12:00:00,62,92,moderate,6.156068294037579
2025-11-17 13:00:00,88,90,low,6.379997761801969
2025-11-17 14:00:00,72,98,low,6.659710690499833
2025-11-17 15:00:00,86,96,high,5.336294811686792
2025-11-17 16:00:00,76,96,low,5.618467443054241
2025-11-17 17:00:00,99,90,moderate,5.120402920344115
2025-11-17 18:00:00,73,94,high,5.085419628666635
2025-11-17 19:00:00,76,96,moderate,7.247621652157665
2025-11-17 20:00:00,93,90,low,6.937702616788709
2025-11-17 21:00:00,97,94,high,5.928677930468582
2025-11-17 22:00:00,95,99,moderate,5.253189763303967
2025-11-17 23:00:00,63,99,high,6.258945770156261
2025-11-18 00:00:00,77,92,high,6.550657188859927
2025-11-18 01:00:00,98,97,high,5.535731514678389
2025-11-18 02:00:00,81,96,low,5.937564868030317
2025-11-18 03:00:00,66,96,low,7.463722354394518
2025-11-18 04:00:00,62,99,low,6.260371552163602
2025-11-18 05:00:00,98,96,high,6.667591036211495
2025-11-18 06:00:00,65,99,low,7.226946583029104
2025-11-18 07:00:00,73,99,high,7.13561800330519
2025-11-18 08:00:00,85,97,moderate,6.3631250977177185
2025-11-18 09:00:00,92,95,high,5.057192012847471
2025-11-18 10:00:00,77,96,high,5.795797357472453
2025-11-18 11:00:00,86,90,low,7.922937295821401
2025-11-18 12:00:00,75,93,low,6.176403445064263
2025-11-18 13:00:00,81,91,high,7.064514442811402
2025-11-18 14:00:00,98,95,moderate,6.211749171776807
2025-11-18 15:00:00,62,99,moderate,5.206138101725628
2025-11-18 16:00:00,82,94,moderate,5.087014720102038
2025-11-18 17:00:00,79,91,moderate,7.107426178097357
2025-11-18 18:00:00,81,96,low,7.814952395178537
2025-11-18 19:00:00,92,94,low,7.3515769314015085
2025-11-18 20:00:00,84,91,low,5.798624617038841
2025-11-18 21:00:00,65,93,low,6.287115506213924
2025-11-18 22:00:00,94,97,moderate,5.720792629802807
2025-11-18 23:00:00,75,91,high,6.496977350820732
2025-11-19 00:00:00,99,96,low,6.239322585893548
2025-11-19 01:00:00,99,90,high,7.180950292310775
2025-11-19 02:00:00,89,98,high,7.450633384047682
2025-11-19 03:00:00,65,98,high,6.797328656886741
2025-11-19 04:00:00,90,94,low,6.320713962022256
2025-11-19 05:00:00,92,97,moderate,6.9434500814242925
2025-11-19 06:00:00,71,98,low,6.000022768683354
2025-11-19 07:00:00,77,92,high,7.310247290418017
2025-11-19 08:00:00,70,98,moderate,6.987004430373108
2025-11-19 09:00:00,77,96,high,6.8976812091157065
2025-11-19 10:00:00,96,93,low,6.652323640608513
2025-11-19 11:00:00,83,94,low,6.9280695123544165
2025-11-19 12:00:00,82,93,high,5.76327005481704
2025-11-19 13:00:00,84,90,moderate,7.681599775471714
2025-11-19 14:00:00,87,94,high,6.159469105008841
2025-11-19 15:00:00,83,95,high,7.774875685639837
2025-11-19 16:00:00,74,95,high,6.8639218540170965
2025-11-19 17:00:00,88,95,low,5.344627079257404
2025-11-19 18:00:00,80,98,moderate,5.83188904417345
2025-11-19 19:00:00,64,98,moderate,5.140949057301909
2025-11-19 20:00:00,60,95,low,6.89992915937462
2025-11-19 21:00:00,88,90,low,5.8895498610748955
2025-11-19 22:00:00,80,99,moderate,5.333029371050266
2025-11-19 23:00:00,75,94,low,6.857364447793608
2025-11-20 00:00:00,89,98,moderate,7.039844398920964
2025-11-20 01:00:00,89,93,low,7.112142144551691
2025-11-20 02:00:00,75,90,high,6.243113301464052
2025-11-20 03:00:00,60,90,high,7.062225698818057
2025-11-20 04:00:00,76,93,high,5.78014942899449
2025-11-20 05:00:00,86,99,low,6.58642237734529
2025-11-20 06:00:00,88,92,low,7.41754148946088
2025-11-20 07:00:00,99,94,low,6.76751298724371
2025-11-20 08:00:00,90,92,moderate,6.211706283684879
2025-11-20 09:00:00,92,91,moderate,6.124113305916582
2025-11-20 10:00:00,67,97,high,7.688427816368104
2025-11-20 11:00:00,95,93,low,5.809147938532716
2025-11-20 12:00:00,81,95,moderate,7.479340989412814
2025-11-20 13:00:00,67,95,moderate,5.542870436452095
2025-11-20 14:00:00,68,95,low,7.152491618844749
2025-11-20 15:00:00,77,91,high,7.599262854248549
2025-11-20 16:00:00,72,92,high,6.902380807971583
2025-11-20 17:00:00,81,99,low,6.172844193467673
2025-11-20 18:00:00,98,98,low,6.702198081451441
2025-11-20 19:00:00,88,95,high,6.3398262413415924
2025-11-20 20:00:00,75,97,moderate,6.421628537950602
2025-11-20 21:00:00,65,97,low,5.254914291087759
2025-11-20 22:00:00,93,95,low,5.059386843443517
2025-11-20 23:00:00,87,90,moderate,7.713750951836696
2025-11-21 00:00:00,76,97,moderate,5.360768603296158
2025-11-21 01:00:00,83,92,moderate,5.558613921140415
2025-11-21 02:00:00,64,95,moderate,7.127288319381401
2025-11-21 03:00:00,86,95,moderate,5.862216916355034
2025-11-21 04:00:00,60,90,low,6.301371372564651
2025-11-21 05:00:00,67,91,low,7.76507671571457
2025-11-21 06:00:00,94,97,moderate,7.190336649911243
2025-11-21 07:00:00,88,98,high,6.040580510256525
2025-11-21 08:00:00,73,93,moderate,6.771608856039645
2025-11-21 09:00:00,94,97,low,6.543598926796864
2025-11-21 10:00:00,73,91,high,5.941355396179607
2025-11-21 11:00:00,65,97,moderate,5.982999737380386
2025-11-21 12:00:00,93,96,high,6.607678746473023
2025-11-21 13:00:00,70,97,high,7.00923263245555
2025-11-21 14:00:00,99,98,moderate,7.934397544710061
